district_name_encoded,season_encoded,crop_year,area_,production_,yield,district_name,season,state_name,crop,temperature,temp_max_daily,temp_min_daily,precipitation,precipitation_sum_daily,sunshine_duration_daily,soil_temp_0cm,soil_temp_6cm,soil_moisture_0_1cm,soil_moisture_3_9cm
66,0,1999,1.0,13621.928667873024,1.6636183058904814,Shahjahanpur,Kharif,Uttar Pradesh,Bajra,16.623811263255117,32.18467080263791,23.38307830974224,0.4622261002685984,4.743144136752371,41584.69054445431,20.5837991233245,24.415314411791744,0.22526601662470572,0.2567170885195117
73,0,2008,1.0,8720.319665055176,1.0604963636838294,Varanasi,Kharif,Uttar Pradesh,Bajra,14.109860829965386,32.400686663999366,23.820731889863296,1.1677207428634457,4.697197497262856,44990.7273447957,32.050609877828705,28.687825593506208,0.32912177606212367,0.31925109648613054
68,0,2001,1.0,0.1,1.039052056084754,Siddharth Nagar,Kharif,Uttar Pradesh,Bajra,21.898985499308758,33.20754324964483,12.985575480961925,1.0722153826832301,2.17928654981652,31707.573503574484,32.133181209605375,30.715364835923587,0.15044818340761315,0.3773888380441239
53,0,2001,39982.44004806945,39811.20586136977,0.4348406010627722,Mau,Kharif,Uttar Pradesh,Bajra,29.41256368238197,32.864492067983285,28.784362064482256,0.40398490057631997,4.563442339791227,30943.575235269327,23.04860717332943,27.544540715080593,0.12598578913984662,0.25055997583725287
19,0,2007,37454.40841558908,76052.58589236323,1.9326072560121026,Chandauli,Kharif,Uttar Pradesh,Bajra,37.53907384754414,30.63361451555368,14.611789835798314,0.6565934472828507,8.443014446828915,31753.202184692385,25.94722818019222,17.991928262479696,0.23814758439945843,0.16731654006736793
8,0,2010,1.0,10894.796200413623,1.2735443599081873,Baghpat,Kharif,Uttar Pradesh,Bajra,8.51059621032642,32.27546545866888,24.92329768616663,1.7404839037129713,3.615296358538267,29922.076460606542,22.627489291635822,21.935347358185258,0.07314394879787674,0.3227187717607321
66,0,1998,2115.1760326015046,0.1,1.5450380931396763,Shahjahanpur,Kharif,Uttar Pradesh,Bajra,34.908644694744254,36.584857452199365,14.195819479438622,0.905664276794454,6.532178374383445,43955.239331521414,30.992689396723563,19.77126992284299,0.26024038675125555,0.13634009844647316
52,0,2008,2401.6910698803144,0.1,1.364838404959606,Mathura,Kharif,Uttar Pradesh,Bajra,13.975962891420709,36.283571017309065,17.784711579822527,2.469485785296496,1.6584841292546437,22933.972252272575,18.017716379745984,26.45001671003525,0.05945955623234029,0.21908795508555146
55,0,2010,1.0,0.1,1.540628037606698,Mirzapur,Kharif,Uttar Pradesh,Bajra,41.47605595571009,29.026104558177188,11.083408576532724,2.753790118336941,4.552229692030415,19749.329439131856,28.408065661859546,7.687445522655006,0.1378780279200742,0.12759541540353586
69,0,2000,7888.7179663735915,0.1,2.9387519445928567,Sitapur,Kharif,Uttar Pradesh,Bajra,25.89233712401807,31.292645314931107,17.694608654261785,0.05947521020771771,4.617013175684306,33807.537951057384,22.457496960568573,24.488036228376533,0.05050975149148874,0.26030624980770867
48,0,2012,4106.939598799954,14130.579401833096,1.0103584753679717,Lucknow,Kharif,Uttar Pradesh,Bajra,26.60726215195074,33.75261581207786,17.41903934661133,0.0525940122394575,9.478440719918934,28429.63475756063,26.844281281075187,21.16132722324846,0.028684304716784906,0.07671176707102023
29,0,2002,5542.236456001735,1173.8309703860916,0.5977198144354576,Ghaziabad,Kharif,Uttar Pradesh,Bajra,24.66366362731514,36.56783802800404,14.039341791951852,0.0,2.962227264681053,39849.21819769648,20.128009907152904,29.160498093427556,0.16165978317969723,0.28443859287127277
3,0,2003,7076.307197887428,0.1,0.38204915154892527,Ambedkar Nagar,Kharif,Uttar Pradesh,Bajra,26.785193059420557,36.21065843585315,8.749732111858847,1.250017707522366,5.925123632742325,57173.93796040694,21.840114342439463,19.61785840708444,0.08665489694594815,0.18378736808971755
46,0,2000,10598.230695545315,14144.425021027717,0.8019605084056437,Kushi Nagar,Kharif,Uttar Pradesh,Bajra,22.77929445035279,44.60162009626201,14.65734026938412,1.0043112818214983,5.562924278382293,36468.111418497596,19.146263183278357,31.46195475380311,0.170831049161562,0.09879092450401435
70,0,2012,1.0,0.1,2.255814042759275,Sonbhadra,Kharif,Uttar Pradesh,Bajra,38.073328312734134,26.26957622722962,10.736844290350916,2.8920684559058154,5.705998294036734,17254.379457929594,31.903129081072414,9.692559644323753,0.13990268244243592,0.11147115024794896
20,0,1997,1.0,0.1,0.6835366258774389,Chitrakoot,Kharif,Uttar Pradesh,Bajra,45.23309966456721,25.57552122011811,15.73714548256782,2.324692677889258,6.89064950211683,33172.97141331788,29.663893180039764,18.274222248468984,0.20415548394701238,0.3564956262120028
32,0,2004,17612.216209693033,18019.48406369587,0.961796882991996,Gorakhpur,Kharif,Uttar Pradesh,Bajra,16.274779413270494,30.204665976644375,15.724859916513024,0.5029181915274651,1.3638542526902844,4803.877428947896,32.53833287447634,22.511343678878983,0.1256105904419223,0.1381330586054432
