state_name,district_name,crop_year,season,crop,area_,production_,yield,temperature,temp_max_daily,temp_min_daily,precipitation,precipitation_sum_daily,sunshine_duration_daily,soil_temp_0cm,soil_temp_6cm,soil_moisture_0_1cm,soil_moisture_3_9cm,data_source,district_name_encoded,season_encoded
Uttar Pradesh,Hardoi,2005,Kharif,Bajra,1.0,2458.963373096111,1.38241152945,20.62525272871137,33.64162049889042,22.748823610581248,2.5764482201091283,3.0725327783999057,18661.124699143038,26.775226564532655,31.761777784856204,0.08829291925083381,0.04455791637232173,synthetic,35.0,0.0
Uttar Pradesh,Hathras,2014,Kharif,Bajra,11724.5157996065,0.1,0.7875821681173241,10.388819925381782,32.005215536928574,18.659964852392147,1.2096433673006484,4.400341541065794,39804.509468348304,31.363027059245763,31.421342358284807,0.0954777185056124,0.08970952942893641,synthetic,36.0,0.0
Uttar Pradesh,Ballia,2000,Kharif,Bajra,1491.0,1172.0,0.7860496311200537,23.528133309178568,39.60187481322522,18.022174031087083,1.5602605532032392,3.0871945640748053,20903.195606875248,16.688416210510635,26.669809892257057,0.06768491012070653,0.3606409989817255,real,,
Uttar Pradesh,Chitrakoot,1999,Kharif,Bajra,68908.13579051965,136418.22655832875,2.0730900039980886,19.69998663624785,36.36522830795068,13.204032476240707,0.8547512330521723,13.161735379174866,48656.06666170734,26.879912839034173,20.198356073515825,0.19442781635773887,0.14886587247268293,synthetic,20.0,0.0
Uttar Pradesh,Sonbhadra,2014,Kharif,Bajra,169.0,259.0,1.532544378698225,31.96899762745354,15.03031817808941,12.447452243642477,0.6766308798483943,3.6117587646816287,33144.44590874852,5.0,23.42911126153608,0.0512496747736364,0.0728602676422128,real,,
Uttar Pradesh,Hapur,2008,Kharif,Bajra,7131.636338354354,7485.662358183411,1.4916710759403142,12.393614699902397,37.69086211727719,20.41938820797524,1.6753523046633674,4.905829486482649,28836.12887657045,28.19748832423896,26.375998832969984,0.17068654956763027,0.3448898977706492,synthetic,34.0,0.0
Uttar Pradesh,Gorakhpur,2004,Kharif,Bajra,17612.216209693033,18019.48406369587,0.961796882991996,16.274779413270494,30.204665976644375,15.724859916513024,0.5029181915274651,1.3638542526902844,4803.877428947896,32.53833287447634,22.511343678878983,0.1256105904419223,0.1381330586054432,synthetic,32.0,0.0
Uttar Pradesh,Mathura,1998,Kharif,Bajra,5434.872137104345,9394.027426749393,1.8490671471585227,29.160288915544307,28.028506953794782,12.618943199907397,1.518372491263726,5.872985627843776,13570.298502202968,30.421941854996863,21.543457581576394,0.09329705261646005,0.14269125749543368,synthetic,52.0,0.0
Uttar Pradesh,Moradabad,2000,Kharif,Bajra,69925.75820870715,117215.25651777371,1.8991454752586203,20.52882167150712,33.84984355690089,27.175292694176935,1.7888965955552085,2.2209126173614218,8506.661073984924,28.473383830313477,25.396356038250588,0.14572661644860624,0.271960345139876,synthetic,56.0,0.0
Uttar Pradesh,Ballia,2010,Kharif,Bajra,780.3755552695533,6506.63966349225,1.9316703166908076,7.018999146537835,28.443341831832466,18.927338889427777,0.692446788618893,9.41947185129684,33592.1298217902,18.994339831427826,22.952794158328704,0.06745586962649698,0.24908701884781112,synthetic,10.0,0.0
Uttar Pradesh,Chandauli,2009,Kharif,Bajra,34348.61712245985,101311.7797244556,1.5820680846724058,13.11553421190481,25.25010035936054,6.018356060625988,1.3457690686981774,5.065552705450807,14496.860052821412,37.32851827494252,23.61324336621931,0.19063003556471783,0.0,synthetic,19.0,0.0
Uttar Pradesh,Kanpur Nagar,2002,Kharif,Bajra,1.0,3585.503289153497,1.3983839104219637,30.84834473603098,32.66028917530664,15.716638717985223,0.3114860532019447,6.070156973240707,22600.825911358057,8.86176493213024,33.35758961614162,0.3541660663224589,0.3287021429559878,synthetic,42.0,0.0
Uttar Pradesh,Kanpur Nagar,2009,Kharif,Bajra,659.6500998202878,0.1,0.5855621442630323,14.007547146701372,38.414094176605246,10.385420918030682,0.5621462593911407,5.706516738555418,36260.4711850344,21.874535434155177,13.980667897830871,0.07362096862630911,0.12642809608072536,synthetic,42.0,0.0
Uttar Pradesh,Kanpur Nagar,2014,Kharif,Bajra,3260.2606523731533,0.1,0.6457543207892891,17.13558194020773,31.45010411373924,21.26938731251539,0.0,8.881583746449872,26474.6733682085,35.575926032361735,30.595818766981264,0.09350497257126084,0.39538473123357887,synthetic,42.0,0.0
Uttar Pradesh,Fatehpur,2002,Kharif,Bajra,63056.84272244955,38919.62397786225,1.424291792291554,18.3596215192797,37.66622705140689,21.019154955497335,0.9760256824671265,10.635538189722329,28485.29580712359,28.456921765807962,16.45289144188553,0.21348177007284147,0.4111659189788433,synthetic,26.0,0.0
Uttar Pradesh,Lalitpur,2007,Kharif,Bajra,11304.34033044083,7892.689876401021,1.9153512224801275,23.46476851877983,33.11869319735721,18.571952622175,1.1883925841620864,4.612269656486669,27098.532236422827,23.519239001403474,15.704916019731753,0.07616106610083076,0.05476274958353456,synthetic,47.0,0.0
Uttar Pradesh,Basti,2013,Kharif,Bajra,6031.492222503525,31011.736669633556,1.0875556969787232,30.12585332393033,44.358547809009316,17.842126388164342,0.8974164403309635,1.438128110204669,41018.285769767244,38.31291414397074,29.76239361089925,0.033257220930255404,0.13713675163705005,synthetic,15.0,0.0
